"Painting","Year","Y","Color","Size"
"Fresken in der Oberkirche San Francesco in Assisi; nördliches Querhauses; Szene by Cimabue",1280,24,"#736256",0.450980392157
"Fresken in der Oberkirche San Francesco in Assisi; Westwand des Querhauses; Szene by Cimabue",1280,30,"#987c5f",0.596078431373
"Die Wunder der Schöpfung des al-Qazwînî; Szene by Unknown.",1280,15,"#7b584c",0.482352941176
"Die Wunder der Schöpfung des al-Qazwînî; Szene by Unknown.",1280,38,"#e9d9bc",0.913725490196
"Madonna Rucellai; Szene by Duccio",1285,0,"#fcfcfc",0.988235294118
"Thronende Madonna mit acht Engeln und vier Propheten; Detail by Cimabue",1285,30,"#6e5236",0.43137254902
"Thronende Madonna mit acht Engeln und vier Propheten; Detail by Cimabue",1285,27,"#846448",0.517647058824
"Madonna Rucellai; Szene by Duccio",1285,15,"#0c0604",0.0470588235294
"Madonna Rucellai; Szene by Duccio",1285,35,"#6e5735",0.43137254902
"Madonna Rucellai; Szene by Duccio",1285,21,"#27150b",0.152941176471
"Thronende Madonna mit acht Engeln und vier Propheten; Detail by Cimabue",1285,10,"#703326",0.439215686275
"Thronende Madonna mit acht Engeln und vier Propheten; Detail by Cimabue",1285,25,"#b3805a",0.701960784314
"Die Schriften der lauteren Brüder; Szene by Unknown.",1287,245,"#858399",0.6
"Die Schriften der lauteren Brüder; Szene by Unknown.",1287,30,"#8f7357",0.560784313725
"Die Schriften der lauteren Brüder; linke Titelblattseite; Szene by Unknown.",1287,31,"#b39472",0.701960784314
"Kreuzigung aus Santa Croce in Florenz; Zustand vor 1966 by Cimabue",1287,32,"#c9a06f",0.788235294118
"Kreuzigung aus Santa Croce in Florenz; Zustand nach 1966; Detail by Cimabue",1287,29,"#85613f",0.521568627451
"Kreuzigung aus Santa Croce in Florenz; Zustand vor 1966; Detail by Cimabue",1287,33,"#9b7442",0.607843137255
"Kreuzigung aus Santa Croce in Florenz; Zustand nach 1966; Detail by Cimabue",1287,17,"#251e1b",0.145098039216
"Kreuzigung aus Santa Croce in Florenz; Zustand nach 1966; Detail by Cimabue",1287,37,"#9c7f4d",0.611764705882
